student_id,name,course,year,section
95-10519,Erhard Keary,Computer Science,1,B
81-78745,Mattheus Grindley,Computer Science,4,D
46-03862,Lynn Galbraeth,Computer Science,2,C
22-84632,Kaja Flattman,Computer Science,4,D
64-45702,Mora Wauchope,Information Technology,4,C
51-24167,Ashley O'Mannion,Information Technology,2,C
14-89308,Kristen Van den Dael,Computer Science,2,B
97-79440,Vidovic Bidder,Computer Science,1,A
13-04733,Sylvia Senechell,Information Technology,4,B
03-59648,Clementius Sawyer,Computer Science,2,A
28-14601,Natasha Rasor,Information Technology,1,B
32-04406,Wright Pidgeon,Computer Science,4,D
41-89298,Devland Skillington,Computer Science,3,B
43-29712,Romain Kellard,Information Technology,1,D
72-85499,Cecil Licciardo,Computer Science,4,A
32-20895,Bobbi McGreal,Computer Science,2,A
42-49938,Mia Aldritt,Computer Science,2,B
90-41879,Nial Gaylard,Computer Science,4,C
16-48734,Norry Waldren,Information Technology,2,D
57-01848,Glen Pauletti,Computer Science,4,A
11-22709,Lorinda Di Frisco,Information Technology,2,B
88-85348,Wilbert Rendbaek,Computer Science,4,A
58-76294,Keri Garrud,Computer Science,4,B
62-31414,Bradney Wybern,Computer Science,1,C
15-25238,Carlin Wordsley,Computer Science,1,D
90-34353,Emlyn Sabban,Computer Science,1,A
26-88135,Eden Hunnicutt,Information Technology,4,A
50-22459,Kev McGlade,Computer Science,1,C
47-41220,Joni Pattrick,Information Technology,2,C
67-30815,Bunni Tallquist,Computer Science,3,D
55-85012,Dorian Farquharson,Information Technology,4,B
13-29902,Julianne Firpo,Information Technology,1,B
69-98791,Marris Hoodless,Computer Science,4,C
56-62931,Claire Tipens,Computer Science,2,A
01-98349,Bordie Nuton,Information Technology,4,A
23-70055,Erasmus Mahoney,Computer Science,1,C
65-19511,Halie Slatten,Information Technology,3,B
87-43392,Zelma Canet,Information Technology,3,B
82-90122,Cinderella Bence,Information Technology,1,D
51-45600,Essy O'Rudden,Computer Science,2,C
49-76477,Paloma Scurrer,Information Technology,3,A
58-25601,Rolf Robbins,Information Technology,3,C
92-94773,Lionello Werrit,Information Technology,4,D
00-25105,Fernandina Bradley,Computer Science,4,D
54-86817,Kimberlyn Stannas,Information Technology,4,A
94-86943,Shirley Schuler,Information Technology,1,D
07-04754,Mahmud Gillon,Information Technology,2,A
76-70715,Lanny Nash,Information Technology,3,C
80-81194,Idette Maasz,Computer Science,4,A
37-39709,Linzy Moretto,Computer Science,1,B
13-69532,Roxanna Grigolon,Information Technology,3,C
88-04637,Alfi Vallantine,Computer Science,1,A
70-20145,Austin Punt,Information Technology,1,D
66-86964,Wallis Ayllett,Computer Science,3,C
80-82145,Eimile Durber,Computer Science,4,C
76-96215,Cornelia Rigglesford,Computer Science,4,A
45-18689,Teddi Tall,Information Technology,1,D
20-14720,Carlina Todarello,Information Technology,2,A
68-32294,Byrom Marlen,Information Technology,2,A
01-94126,Marylynne Penman,Information Technology,2,C
04-00385,Weidar Raithmill,Computer Science,3,C
66-11282,D'arcy Peddowe,Information Technology,1,D
30-61513,Merill Leicester,Computer Science,1,C
15-25878,Etan Iamittii,Information Technology,4,C
47-35103,Say Baxill,Computer Science,2,D
35-32931,Ebonee Hansman,Information Technology,2,A
98-25931,Casper Bythell,Information Technology,3,C
27-89883,Melessa Heaselgrave,Computer Science,3,B
25-86008,Carmita Gerram,Information Technology,2,B
07-05777,May Ciobutaro,Computer Science,4,B
84-41714,Adrian Kingaby,Information Technology,4,B
25-81163,Alfonso Jiri,Information Technology,1,D
32-47991,Wilt Mortlock,Information Technology,3,D
95-47955,Merlina Duigan,Computer Science,2,A
46-04464,Timothy Eagland,Information Technology,1,C
23-74407,Perkin Gonzalvo,Information Technology,1,A
39-61021,Granthem Treadgold,Computer Science,3,B
55-95841,Nady Bewshea,Computer Science,4,A
16-18778,Hernando Rosencwaig,Computer Science,1,B
97-56383,Rorke Brattan,Information Technology,2,A
74-49844,Daniela Becconsall,Information Technology,2,C
69-48329,Marijn Jephson,Information Technology,2,C
39-39170,Mavis Brookshaw,Information Technology,4,C
52-90094,Cordula Keelin,Information Technology,2,A
56-81804,Ellissa Neave,Computer Science,1,D
13-59645,Delcina Darrell,Computer Science,4,B
17-31111,Giffard Starbuck,Computer Science,2,C
49-37517,Cristal Pawellek,Computer Science,4,D
92-78844,Kylen Pleavin,Information Technology,3,C
97-42066,Clareta Polino,Computer Science,1,D
22-29131,Roxi Dinan,Computer Science,1,C
71-00203,Devonna McDugal,Computer Science,3,B
98-38853,Darelle Vize,Computer Science,1,A
37-25397,Derick Brucker,Information Technology,1,C
04-89767,Wallie Bertome,Computer Science,2,A
78-93157,Carina Madoc-Jones,Information Technology,1,D
18-40520,Natalee Gane,Information Technology,2,D
24-63214,Diane Murfin,Information Technology,2,B
56-63519,Barron McCreadie,Information Technology,1,C
40-51863,Vern Giacopetti,Information Technology,2,A
